"Var1","Freq"
"AB",480
"AK",58
"AL",409
"AR",312
"AZ",1104
"BC",1565
"CA",16106
"CO",1894
"CT",572
"DC",318
"DE",149
"FL",3113
"GA",1763
"HI",402
"IA",949
"ID",171
"IL",1636
"IN",693
"KS",606
"KY",336
"LA",226
"MA",2385
"MB",144
"MD",1473
"ME",398
"MI",1414
"MN",1293
"MO",1227
"MS",139
"MT",109
"MX",1
"NB",164
"NC",1461
"ND",125
"NE",372
"NH",198
"NJ",884
"NL",61
"NM",269
"NS",154
"NT",3
"NV",537
"NY",3409
"OH",1417
"OK",591
"ON",2472
"OR",1068
"PA",1591
"PE",71
"PR",6
"QC",3502
"RI",298
"SC",556
"SD",153
"SK",143
"TN",847
"TX",3002
"UT",925
"VA",1351
"VT",340
"WA",1916
"WI",796
"WV",156
"WY",93
"YT",30
